багор,багоръ
семенить,семенить
семиаршинный,семиаршинный
семинария,семинарiя
семиугольный,семиугольный
семиэтажный,семиэтажный
семнадцать,семнадцать
семьдесят,семьдесятъ
семья,семья
семя,сѣмя
сенат,сенатъ
сени,сѣни
сенить,сѣнить
сено,сѣно
сеновал,сѣновалъ
сенокос,сѣнокосъ
сентябрь,сентябрь
сентябрьский,сентябрьскiй
сенцы,сѣнцы
сень,сѣнь
сера,сѣра
Серафим,Серафимъ
серб,сербъ
Сербия,Сербiя
сервиз,сервизъ
Сергей,Сергѣй
Сергий,Сергiй
сердечный,сердечный
сердиный,сердитый
сердиться,сердиться
сердобольный,сердобольный
сердолик,сердоликъ
сердце,сердце
серебро,серебро
серебряный,серебряный
середина,середина
серёжка,серёжка
серенький,сѣренькiй
Серпухов,Серпуховъ
серчать,серчать
серый,серый
серый,сѣрый
серьги,серьги
серьёзный,серьёзный и серiозный
сестра,сестра
сестрин,с<strong>е</strong>стринъ
сесть,сѣсть
сетка,сѣтка
сетовать,сѣтовать
сетчатый,сѣтчатый
сеть,сѣть
сечь,сѣчь (засѣкъ)
сеялка,сѣялка
сеять,сѣять
сжечь,сжечь
сзади,сзади
сиверко,с<strong>и</strong>верко
сигара,сигара
сидевший,сидѣвшій
сиделка,сидѣлка
сиденье,сидѣнье
сидеть,сидѣть
Сидор,Сидоръ
сила,сила
силен,силенъ
силуэт,силуэтъ
сильнее,сильнѣе
сильном,силенъ
символический,символическій
симметрия,симметрiя
симфония,симфонiя
Синод,Синодъ и С&#1141;нодъ
синодальный,синодальный и с&#1141;нодальный
синтаксический,синтаксическiй и синтактическiй
синьор,синьоръ
сиречь,сирѣчь
сирийский,сирійскій
Сирия,Сирія
сироп,сиропъ
сирота,сирота
система,система
сих,сихъ
сияние,сіяніе
сияющий,сiявшiй
сказание,сказаніе
скакать,скакать
скандал,скандалъ
скаредность,скаредность
скарлатина,скарлатина
скатерть-самобранка,скатерть-самобранка
сквер,скверъ
скверный,скверный
скелет,скелетъ
скипидар,скипидаръ
скифы,скиѳы
склизкий,склизкiй
склянка,склянка и стклянка
сковорода,сковорода
сколько-нибудь,сколько-нибудь
скоморох,скоморохъ
скопидом,скопидомъ
скорбит,скорбитъ
скорее,скорѣе
скорлупа,скорлупа
скорняжить,скорняжить и скорнячить
скоромный,скоромный
скоропись,скоропись
скошенный,скошенный
скрип,скрипъ
скрипка,скрипка
скуфья,скуфья
скучный,скучный
слабей,слабѣй
слабый,слабый
славяне,славяне
славяноведение,славяновѣдѣніе
славяно-русский,славяно-русскій
славянофил,славянофилъ
славянский,славянскій
славянство,славянство
слагать,слагать
сланец,сланецъ
слева,слѣва
слегка,слегка
след,слѣдъ
следить,слѣдить
следователь,слѣдователь
следовательно,слѣдовательно
следовать,слѣдовать
следствие,слѣдствiе
следующий,слѣдующiй
слёзаньки,слёзаньки и слёзыньки
слезинка,слезинка
слезть,слѣзть
слезы,слёзы
слепень,слѣпень
слепец,слѣпецъ
слепнуть,слѣпнуть
слепой,слѣпой
слепок,слѣпокъ
слепота,слѣпота
слияние,сліяніе
словарик,словарикъ и словарёкъ
словесность,словесность
словно,словно
слово,слово
слово за слово,слово-за-слово
сложить,сложить
сложный,сложный
случай,случай
слыхал,слыхалъ (много разъ)
слышан,слышанъ (причастiе)
слышу,слышу
слюна,слюна
смежный,смежный
смекать,смекать
смелый,смѣлый
смена,смѣна
сменить,смѣнить
смерд,смердъ
смеркаться,смеркаться
смертельный,смертельный
смерть,смерть
смесь,смѣсь
смета,смѣта
сметана,сметана
смётка,смётка (отъ метать)
сметливый,смѣтливый
сметь,смѣть
смех,смѣхъ
смешан,смѣшанъ (от мѣшать)
смешивать,смѣшивать
смещение,смѣщенiе
смеяться,смѣяться
смиренник,смиренникъ
смолоду,смолоду
смородина,смородина
смотреть,смотрѣть
смысл,смыслъ
смышлёный,смышлённый (причастiе)
смятение,смятенiе
снаружи,снаружи
сначала,сначала (нарѣчiе)
снег,снѣгъ
снегирь,снѣгирь и снигирь
снеговик,снѣговикъ
снегурка,снѣгурка
снедать,снѣдать
снедь,снѣдь
снежинка,снѣжинка
снежный,снѣжный
снести,снести
снизу,снизу
снова,снова
сноровка,сноровка
сношение,сношеніе
собака,собака
соберут,соберутъ
соболезновать,соболѣзновать
собор,соборъ
соборне,соборнѣ
соборный,соборный
собрание,собраніе
собственноручно,собственноручно
событие,событіе
совершенно,совершенно
совершеннолетие,совершеннолѣтiе
совершенный,совершенный (т. е. безупречный)
совершено,совершено
совершенство,совершенство
совесть,совѣсть
совет,совѣтъ
советник,совѣтникъ
современник,современникъ
современность,современность
современный,современный
совсем,совсѣмъ (нарѣчiе)
согласие,согласіе
согреть,согрѣть
содержание,содержаніе
содеянный,содѣянный
соединение,соединеніе
сожаление,сожалѣніе
сожалеть,сожалѣть
создание,созданіе
сознание,сознанiе
сознательно,сознательно
созревать,созрѣвать
созреть,созрѣть
сойти,сойти
сокращение,сокращеніе
солдат,солдатъ
солеваренный,солеваренный
солёный,солёный (прилагательное)
солидарный,солидарный
солидный,солидный
солист,солистъ
солитер,солитеръ
солнце,солнце
солнышко,солнышко
соловей,соловей
соломенный,соломенный
соломинка,соломинка
солянка,солянка
сомневаться,сомнѣваться
сомнение,сомнѣніе
соната,соната
сонет,сонетъ
Сонечка,Сонечка
сонник,сонникъ
соображение,соображеніе
сообща,сообща
сообщение,сообщеніе
соответственно,соотвѣтственно
соотечественник,соотечественникъ
соперница,соперница
сопеть,сопѣть
соплеменник,соплеменникъ
сопряжённый,сопряжённый
сопутствовать,сопутствовать
сорванный,сорванный
сорви-голова,сорвиголова и сорви-голова 
сорока,сорока
сорокадневный,сорокадневный
сорокалетний,сорокалѣтнiй
сорокарублёвый,сорокарублёвый
сорокатысячный,сорокатысячный
сороконожка,сороконожка
сорокоуст,сорокоустъ
сосед,сосѣдъ
соседка,сосѣдка
соседний,сосѣдний
соседовать,сосѣдовать
соседство,сосѣдство
сосенка,сосенка
сосиска,сосиска
соскочить,соскочить
сосредоточенно,сосредоточенно (нарѣчiе - сосредоточенно глядя)
состав,составъ
составление,составленіе
состариться,состариться и состарѣться
состояние,состояніе
состоящий,состоящій
сострить,сострить
сотворение,сотворенiе
сотенный,сотенный
сотканный,сотканный
сотня-другая,сотня-другая
соумышленник,соумышленникъ
софа,софа
социальный,соцiальный
сочельник,сочельникъ
сочетание,сочетаніе
сочиво,сочиво и сочево
сочинение,сочиненіе
спальня,спальня род.п. мн.ч. спаленъ
спасение,спасеніе
спеленать,спеленать
спелый,спѣлый
сперва,сперва
спереди,спереди
спесь,спесь и спѣсь
специальный,спеціальный
специфический,специфическiй
спешить,спѣшить
спина,спина
спиритизм,спиритизмъ
спиртомер,спиртомѣръ
список,списокъ
спичечница,спичечница
сплетня,сплетня род.п. мн.ч. сплетенъ и сплетней
сплеча,съ плеча
сплошь,сплошь
сплющенный,сплющенный
сподручно,сподручно
спозаранку,спозаранку
спокоен,спокоенъ
сполна,сполна
спор,споръ
спортсмен,спортсменъ
спорщик,спорщикъ
спорьте,спорьте
справа,справа
справедливость,справедливость
спросонок,спросонокъ и съ просонокъ
спроста,спроста
спустя,спустя
спьяна,спьяна
сравнение,сравненіе
сражение,сраженiе
с разбегу,съ разбѣгу
с размаху,съ размаху
сразу,сразу
срам,срамъ
срастись,сростись
среда,среда
среди,среди и средь
средний,среднiй
средство,средство
срез,срѣзъ
срезать,срѣзать
Сретение,Срѣтенiе
сроду,сроду
сряду,сряду
ссора,ссора
ссуда,ссуда
ссылка,ссылка
ставленник,ставленникъ
стало быть,стало-быть
стакан,стаканъ
стамеска,стамезка
станет,станетъ
станция,станція
старание,стараніе
старина,старина
старинный,старинный
старичок,старичокъ
старшинство,старшинство
статский,статскiй
ствол,стволъ
стеарин,стеаринъ
стебелек,стебелекъ (стебельки)
стебель,стебель (стеблемъ)
стекло,стекло (стёколъ)
стеклянный,стеклянный
стелить,стелить (стлать)
стена,стѣна
стенограмма,стенограмма
стенография,стенографiя
стень,стѣнь
Степан,Степанъ и Стефанъ
степень,степень
стержень,стержень
стеснение,стѣсненiе
стеснительный,стѣснительный
стеснять,стѣснять
стипендия,стипендiя
стихарь,стихарь
стлать,стлать
стоить,стоить
стоймя,стоймя и стойма
столб,столбъ и столпъ
столетие,столѣтіе
сторона,сторона
сторонник,сторонникъ
стоять,стоять
страдание,страданiе
страна,страна
страница,страница
странник,странникъ
странность,странность
страстной,страстной
страстный,страстный
страшный,страшный
стрекоза,стрекоза
стрела,стрѣла
стремглав,стремглавъ
стремечко,стремечко
стремя,стремя
стремянной,стремянной
стреха,стрѣха
строго-настрого,строго-настрого
строго-научный,строго-научный
строфа,строфа
стручок,стручокъ
студенческий,студенческiй и студентскiй
ступень,ступень
стяжать,стяжать
суббота,суббота
субъект,субъектъ
судорога,судорога
судьба,судьба
суждение,сужденiе
суженный,суженный (отъ узкiй)
суженый,суженый (женихъ)
сума,сума(мѣшокъ)
сумасброд,сумасбродъ
сумасшедший,сумасшедшiй
суматоха,суматоха
сумерки,сумерки
суметь,сумѣть
суметь,съумѣть
суррогат,суррогатъ
сурьма,сурьма
сусека,сусѣка
суфлёр,суфлёръ
суффикс,суффиксъ
сушёный,сушёный
существенный,существенный
существительное,существительное
существовавший,существовавшій
существование,существованіе
сфера,сфера
сцена,сцена
сцепить,сцѣпить
сцепленный,сцѣпленный
счастье,счастіе
счёт,счётъ
съедобный,съѣдобный
съеживаться,съёживаться
съездить,съѣздить
съест,съѣстъ
сыграть,сыграть и съиграть
сыздетства,сыздѣтства
сызмала,сызмала
сызнова,сызнова и съизнова
сынишка,сынишка
сыплю,сыплю
сыщик,сыщикъ
сюрприз,сюрпризъ
сюртук,сюртукъ
табак,табакъ
табакерка,табакерка
табачный,табачный
табачок,табачок
табельный,табельный
табор,таборъ
табун,табунъ
табурет,табуретъ
таган,таганъ
таинственность,таинственность
также,также (союзъ) - онъ также приготовилъ урокъ
так же,такъ-же и такъ же (нарѣчіе)   -  он такъ же приготовилъ урокъ
такие,такой
так называемый,такъ-называемый
такой-сякой,такой-сякой
так-то,такъ-то
талан,таланъ (счастiе)
талант,талантъ (вѣсъ
талия,талия и талья
талмуд,талмудъ
танцевальный,танцовальный
танцевать,танцовать
танцор,танцоръ
таракан,тараканъ
тарантас,тарантасъ
тарантелла,тарантелла
таратайка,таратайка
тараторить,тараторить
тарелка,тарелка
татарин,татаринъ им.п. мн.ч. татары
тафта,тафта
тащу,тащу
таю,таю
таю,таю
твердый,твердый
твое,твоё
творог,твор<strong>о</strong>гъ
творчество,творчество
те,тѣ
театр,театръ
тебе,тебѣ
тёзка,тёзка
тезоиментство,тезоиментство
текст,текстъ
телега,телѣга
телеграмма,телеграмма
телеграф,телеграфъ
тележка,телѣжка
телёнок,телёнокъ им.п. мн.ч. телята
телесный,тѣлесный
телефон,телефонъ
тело,тѣло
телодвижение,тѣлодвиженіе
телосложение,тѣлосложеніе
тельное,тѣльное
тельце,тѣльце
телятина,телятина
тема,тема
темечко,темечко
темнить,темнить (дѣлать тёмнымъ)
темница,темница
темно,темно
темно-серый,темно-сѣрый
теневой,тѣневой
тенистый,тѣнистый
тень,тѣнь
теократия,теократiя и ѳеократiя
теология,теологiя и ѳеологiя
теория,теорія
теперешний,теперешнiй
теперь,теперь
теплица,теплица
тепло,тепло
теплый,теплый
тереть,тереть
терзать,терзать
термин,терминъ
терновник,терновникъ
терпение,терпѣнiе
терпеть,терпѣть
терраса,терраса
территория,территорiя
террор,терроръ
терять,терять
тесать,тесать (тёсъ)
теснить,тѣснить
тесно,тѣсно
тесный,тѣсный
тест,тест
тесто,тѣсто
тесть,тесть
тесьма,тесьма
тётенька,тётенька
тетерев,тетеревъ
тетива,тетива и тятива
тетрадь,тетрадь
технический,техническiй
течение,теченiе
течение,теченіе
течением,теченіемъ
тешить,тѣшить
Тимофей,Тимоѳей
типография,типографія
тиф,тифъ
тихий,тихій
тише,тише
тишина,тишина
тканый,тканый
ткацкий,ткацкiй
ткёшь,ткёшь и тчёшь (отъ ткать)
тление,тлѣнiе
Тмутаракань,Тмуторокань и Тмуторакань
товар,товаръ
товарищ,товарищъ
тогда,тогда
того же,того-же
то есть,то-есть
тождество,тождество и тожество
тоже,то и дело
то-и-дѣло,токарь
токарь,толкование
толкованіе,толковать
толковать,толкотня
толкотня,толмач
толмачъ,толокно
толокно,толочь
толочь,толпа
толпа,толстенький
толстенькiй,толстота
толстот<strong>а</strong>,толчея
толчея,толще
толще,только что
только-что,томить
томить,тоненький
тоненькій,тонкий
тонкій,тоннель
тоннель,тонуть
тонуть,тончайший
тончайшiй,тоньше
тоньше,топливо
топливо,топография
топографiя,топор
топоръ,топорище
топорище,топчу
топчу,торжественный
торжественный,тормошить
тормошить,торопить
торопить,торф
торфъ,торчать
торчать,тоска
тоска,то-то
то-то,тотчас
тотчасъ (нарѣчiе),точёный
точёный,точь-в-точь
точь-в-точь,трактир
трактиръ,трамбовать
трамбовать,транспарант
транспарантъ,тревога
тревога,трение
тренiе,треплю
треплю,третий
третій,третировать
третировать,третьягодняшний
третьягодняшнiй (произв. третёва,треугольный
треугольный,треф
трефъ,трёхаршинный
трёхъаршинный,трёхдневный
трёхдневный,трёхэтажный
трёхъэтажный,трещина
трещина,трещотка
трещотка,тридцать
тридцать,трижды
трижды,тринадцать
тринадцать,триумф
трiумфъ,Трифон
Трифонъ,троечный
троечный,Троице-Сергиева Лавра
Троице-Сергiева Лавра,троицкий
троицкій,тромбон
тромбонъ,тропа
тропа,тростник
тростникъ,тротуар
тротуаръ,трофей
трофей,Трофим
Трофимъ,трудный
трудный,труженик
труженикъ,труппа
труппа,трущоба
трущоба,трюфель
трюфель,тряский
тряскiй,туалет
туалетъ,тунеядец
тунеядецъ,турецкий
турецкiй,тут-то
тутъ-то,туфля
туфля,туш
туш (музыка),тщательный
тщательный,тщедушный
тщедушный,тщеславие
тщеславiе,тысяцкий
тысяцкiй,тысяча
тысяча,тьма
тьма и тма,тюркский
тюркскiй,тюрьма
тюрьма,тюфяк
тюфякъ,тяжело
убедить,убѣдить
убедиться,убѣдиться
убежать,убѣжать
убеждать,убѣждать
убеждение,убѣжденiе
убежище,убѣжище
убийца,убiйца
убогий,убогій
убогонький,убогонькiй
уважение,уваженіе
уведомить,увѣдомить
увел,увелъ
увеличить,увеличить
увенчать,увѣнчать
уверен,увѣренъ
уверять,увѣрять
увесистый,увѣсистый
увечный,увѣчный
увечье,увѣчье
увещевать,увѣщевать и увѣщавать
увидевший,увидѣвшiй
увидеть,увидѣть
увидим,увидитъ
увядать,увядать
угнетать,угнетать
угнетение,угнетенiе
угол,уголъ
уголок,уголокъ
уголь,уголь
угорать,угарать
угощение,угощеніе
удавленник,удавленник
удаление,удаленiе
удалой и удалый,удал<strong>о</strong>й и уд<strong>а</strong>лый
ударение,удареніе
удаться (а не удасться),удаться (а не удасться)
удержаться,удержаться
удивление,удивленіе
удлинение,удлиненiе
удобен,удобенъ
удовлетворение,удовлетворенiе
удовольствие,удовольствіе
удостоен,удостоенъ
уездный,уѣздъ
уехать,уѣхатъ
ужаснее,ужасъ
уже,уже
ужо,ужо (позже
уздцы,уздцы и устцы
узел,узелъ
узкий,узкiй
узреть,узрѣть
уйти,уйти
указание,указаніе
указчик,указчикъ
уклонение,уклоненіе
укороченный,укороченный
украшение,украшеніе
украшенный,украшенный
украшены,украшены
укрощённый,укрощённый
улеглис,улеглисъ
улететь,улетѣть
улучшение,улучшенiе
ультиматум,ультиматумъ
Ульяна,Iулiанiя
умалишённый,умалишённый
умелый,умѣлый
уменье,умѣнье
уменьшать,уменьшать
умеренный,умѣренный
умереть,умереть
умерщвлять,умерщвлять
уметь,умѣть
умеющий,умѣющiй
умнее,умнѣе
умышленный,умышленный
унести,унести
университет,университетъ
уперлась,упереться
упирь,упирь
уплачен,уплаченъ
уполномочивать,уполномочивать
упоминовение,упоминовенiе и упомяновенiе
употребимый,употребимый
употребительный,употребительный
употребление,употребленіе
употребляемый,употребляемый
упражнение,упражненіе
упрётся,упрётся
упрощение,упрощеніе
упряжь,упряжь
упрямо,упрямо
уравновесить,уравновѣсить
уравнять (равный),уравнять (равный)
ураган,ураганъ
уровнять (ровный),уровнять (ровный)
уроженец,уроженецъ
урочище,урочище
урядник,урядникъ
усажен,усаженъ
усвоение,усвоеніе
уселся,усѣлся
усердно,усердно
усиление,усиленіе
усилие,усиліе
условие,условіе
усовершенствование,усовершенствованіе
усовещивать,ус<strong>о</strong>вѣщавать
усомниться,усомниться и усумниться
усопший,усопшiй
успение,успенiе (отъ усыпать
Успенский,Успенскiй
успех,успѣхъ
успокаивать,успокаивать и успокоивать
уставной,уставной
установленный,установленный
устаревший,устарѣвшiй
Устинья,Устинья
устраивать,устраивать и устроивать
устроен,устроенъ
устроение,устроеніе
устроенный,устроенный
утвердить,утвердить
утёнок,утёнокъ
утереть,утереть
утёсь,утёсъ
утеха,утѣха
утешитель,утѣшитель
утирать,утирать
утончение,утонченiе
утончённость,утончённость
утрамбовывать,утрамбовывать
утренний,утреннiй и утрешнiй
утренник,утренникъ
Утреня,Утреня
Уфа,Уфа
уцелеть,уцѣлѣть
уцепиться,уцѣпиться
участвовать,участвовать
участие,участіе
участь,участь
учение,ученіе
ученик,ученикъ
ученый,ученый
учрежденный,учрежденный
ушёл,ушёлъ
фабрика,фабрика
фабула,фабула
Фавор,Ѳаворъ
фаворит,фаворитъ
фагот,фаготъ
Фаддей,Ѳаддей
фазан,фазанъ
факел,факелъ
факир,факир
факсимиле,факсимиле
факт,фактъ
фактор,факторъ
фактура,фактура
факультет,факультетъ
фаланга,фаланга
фалда,фалда
Фалес,Ѳалесъ
фальцевать,фальцевать
фальцет,фальцетъ
фальшь,фальшь
фамилия,фамилiя
фамильярный,фамильярный
фанатизм,фанатизмъ
фанера,фанера
фант,фантъ
фантазия,фантазiя
фантасмагория,фантасмагорiя
фанфарон,фанфаронъ
фарватер,фарватеръ
фарисей,фарисей
фармазон,фармазонъ
фармакология,фармакологiя
фарс,фарсъ
фартук,фартукъ
фарфор,фарфоръ
фасад,фасадъ
фасоль,фасоль
фасон,фасонъ
фат,фатъ
фата,фата
фаталист,фаталистъ
фатум,фатумъ
Фаэтон,Фаэтонъ
фаянс,фаянсъ
Феб,Фебъ
февраль,февраль
Феврония,Февронiя
федерация,федерацiя
Федор,Ѳедоръ и Ѳеодоръ
Федот,Ѳедотъ и Ѳеодотъ
фейерверк,фейерверкъ
Фёкла,Ѳёкла
фельдмаршал,фельдмаршалъ
фельдфебель,фельдфебель
фельдшер,фельдшеръ и фершелъ
фельдъегерь,фельдъегерь
фельетон,фельетонъ
фемида,ѳемида
Фемистокл,Ѳемистоклъ
Феникс,Фениксъ
феномен,феноменъ
Феогност,Ѳеогностъ
Феодосий,Ѳеодосiй
Феофан,Ѳеофанъ
Ферапонт,Ѳерапонтъ
ферма,ферма
ферт,фертъ (буква русской азбуки)
ферязь,ферязь
феска,феска
Фессалоники,Ѳессалоники
фетиш,фетишъ
фетишизм,фетишизмъ
фехтовать,фехтовать
фиакр,фiакръ
фиалка,фiалка
фиаско,фiаско
фибра,фибра
Фивы,Ѳивы
фига,фига
фигляр,фигляръ
фигура,фигура
фижмы,фижмы
физика,физика
физиология,физиологiя
физиономия,физiономiя
фикция,фикцiя
филантропия,филантропiя
филе,филе
филёнка,филёнка
Филимон,Филимонъ
филин,филинъ
Филипп,Филиппъ
Филипповки,Филипповки
филология,филологiя
философ,философъ
философия,философiя
Филофей,Филоѳей
фильтр,фильтръ
фимиам,ѳимiамъ
финал,финалъ
финансы,финансы
финикийскаго,финикійскiй
Финляндия,Финляндiя
фиолетовый,фiолетовый
фиорд,фiордъ
фирма,фирма
Фирс,Ѳирсъ
фисгармония,фисгармонiя
фисташка,фисташка
фистула,фистула
фитиль,фитиль
флаг,флагъ
флакон,флаконъ
фланг,флангъ
фланель,фланель
флегматик,флегматикъ
флейта,флейта
флексия,флексiя
флигель,флигель
флора,флора
Флор и Фрол,Флоръ и Фролъ
флот,флотъ
флюгер,флюгеръ
флюс,флюсъ
фляга,фляга
фойе,фойе
Фока,Фока
фокус,фокусъ
фолиант,фолiантъ
фольга,фольга
фольклор,фольклоръ
Фома,Ѳома
Фоминична,Ѳоминична
фон,фонъ
фонарь,фонарь
Фонвизин,Фонвизинъ
фонетика,фонетика
фонограф,фонографъ
фонтан,фонтанъ
форейтор,форейторъ
форель,форель
форма,форма
формация,формацiя
формула,формула
формуляр,формуляръ
форс,форсъ
фортепиано,фортепiано
фортификация,фортификацiя
форточка,форточка
фортуна,фортуна
форум,форумъ
форшмак,форшмакъ
фосфор,фосфоръ
Фотий,Фотiй
фотография,фотографiя
фофан,фофанъ
фрагмент,фрагментъ
фраза,фраза
фрак,фракъ
франт,франтъ
Франция,Францiя
французский,французскiй
фрахт,фрахтъ
фрейлина,фрейлина
фривольный,фривольный
фрикасе,фрикасе
фронт,фронтъ и фрунтъ
фронтон,фронтонъ
фрукт,фруктъ
фундамент,фундаментъ и фундтаментъ
функция,функцiя
фунт,фунтъ
фура,фура
фураж,фуражъ
фуражка,фуражка
фургон,фургонъ
фурия,фурiя
фурман,фурманъ
фурор,фуроръ
фут,футъ
футляр,футляръ
фуфайка,фуфайка
хазары,хазары
халат,халатъ
ханжество,ханжество
хаос,хаосъ
характер,характеръ
Харлампий,Харлампiй и Харалампiй
харч,харчъ
хер,хѣръ (буква русской азбуки)
Херсон,Херсон
херувим,херувимъ
химера,химера
хинный,хинный
хиромантия,хиромантiя
хиротония,хиротонiя
хищный,хищный
хладнокровие,хладнокровiе
хламида,хламида
хлеб,хлѣбъ
хлебать,хлебать
хлебишко,хлѣбишко
хлебосол,хлѣбосолъ
хлеб-соль,хлѣбъ-соль (жен. р.)
хлев,хлѣвъ
хлестнуть,хлестнуть и хлеснуть
хлещу,хлещу
хлопочу,хлопочу
хлорофил,хлорофилъ
хлороформ,хлороформъ
хмель,хмель (и и хмѣль)
ходатай,ходатай
ходчее,ходчѣе
хозяин,хозяинъ
хозяйство,хозяйство
холера,холера
холодный,холодный
холоп,холопъ
хомут,хомутъ
хомяк,хомякъ
Хорватия,Хорватія
хорёк,хорёкъ
хореография,хореографiя
хоромы,хоромы
хоронить,хоронить
хороший,хорошій
хоругвь,хоругвь
хорунжий,хорунжiй
хотел было,хотѣлъ-было
хотеть,хотѣть
хоть и хотя,хоть и хотя
хохол,хохолъ
храбрый,храбрый
храм,храмъ
храпеть,храпѣть
хребет,хребетъ
хрен,хрѣнъ
хрестоматия,хрестоматiя и христоматiя
хрипение,хрипѣніе
Хрисанф,Хрисанѳъ и Кирсанъ
христарадничать,христарадничать
христианин,христiанинъ
христианский,христіанскiй
христианство,христіанство
Христос,Христосъ (въ церковныхъ текстахъ - Хрiстосъ)
Христофор,Христофоръ
хромолитография,хромолитографiя
хронография,хронографiя
хронология,хронологiя
хрустнуть,хрустнуть и хруснуть
худенький,худенькiй
худого,худой
художественнаго,художественный
худший,худшiй
хуже,хуже
хуторишко,хуторишко
царскаго,царскаго
царствующий,царствующiй
Царьград,Царьградъ
цвести,цвѣсти
цвет,цвѣтъ
цветок,цвѣтокъ
цветочный,цвѣточный
цевка,цѣвка
цевье,цѣвье
цедить,цѣдить
цедра,цедра (отъ иностраннаго слова cedro - лимонъ)
цейхгауз,цейхаузъ
целебный,цѣлебный
целей,цѣлей (нѣсколько цѣлей)
целиком,цѣликомъ
целина,цѣлина
целитель,цѣлитель
целиться,цѣлиться
целковый,цѣлковый
целовать,цѣловать
целомудрие,цѣломудрiе
целостность,цѣлостность
целый,цѣлый
цель,цѣль
цемент,цементъ
цена,цѣна
цензор,цензоръ
ценный,цѣнный
центнер,центнер
цеп,цѣпъ
цепенеть,цѣпенѣть
цеплять,цѣплять
цепь,цѣпь
церемониймейстер,церемонiймейстеръ
церковнославянский,церковно-славянскiй
церковь,церковь
цех,цехъ
цивилизация,цивилизацiя
цикл,циклъ
цикорий,цикорiй
цилиндр,цилиндръ
цимбалы,цымбалы
цинга,цынга
циник,циникъ
цинк,цинкъ
циновка,цыновка
цирк,циркъ
циркуль,циркуль
циркуляр,циркуляръ
цирюльник,цырюльникъ
цитадель,цитадель
цитата,цитата
цитварь,цытварь
цитра,цитра
циферблат,циферблатъ
цифирь,цыфирь
цифра,цифра и цыфра
цыбик,цыбикъ
цыган,цыганъ им.п. мн.ч. цыганы и цыгане
цыпка,цыпка
цыпленок,цыпленокъ
чакрыжить,чакрыжить
чародей,чародѣй
часовня,часовня
частный,частный
частокол,частокол
чахотка,чахотка
чашечка,чашечка
чаще,чаще
чаять,чаять
чего,чего
чего-либо,чего-либо
чего-то,чего-то
чей,чей
чей-то,чей-то
чеканить,чеканить
чёлн,чёлнъ
чело,чело
человек,человѣкъ
человеческаго,человѣческаго
человечество,человѣчество
челюсть,челюсть
челядь,челядь
чемодан,чемоданъ
чепуха,чепуха
червоточина,червоточина
червяк,червякъ
чердак,чердакъ
через,черезъ
черезполосный,черезполосный
черезчур,черезчуръ
черёмуха,черёмуха и черемха
черешня,черешня
черкес,черкесъ
чернеть,чернѣть
черника,черника
чернила,чернила
черничный,черничный
черноволосый,черноволосый
черноризец,черноризецъ
чёрный,чёрный
чёрствый,чёрствый
черт,чертъ
чёрт,чортъ
черта,черта
чертополох,чертополохъ
чеснок,чеснокъ
честолюбие,честолюбiе
честь,честь
четверг,четвергъ и четверъ
четвереньки,четвереньки
четвёрка,четвёрка
четверостишие,четверостишiе
четвертый,четвертый
четверть,четверть
четкий,четкій
четыре,четыре
четырёхгранный,четырёхгранный
четырёхугольник,четырёхъугольникъ
четырёхэтажный,четырёхъэтажный
четырнадцать,четырнадцать
чех,чехъ
чехарда,чехарда
Чехов,Чеховъ
чехол,чехолъ
чешский,чешскiй
чешуя,чешуя
чинара,чинара
чинный,чинный
чиновник,чиновникъ
численнаго,численнаго
численность,численность
число,число
чистое,чистое
чоботы,чоботы
чокаться,чокаться
чопорный,чопорный
чрезвычайно,чрезвычайно
чтение,чтенiе
чтоб,чтобъ
что бы,что-бы (мѣстоименiе)
что ж,что-жъ
что ли,что-ли
что-либо,что-либо
что-нибудь,что-нибудь
что-то,что-то
чувственность,чувственность
чувство,чувство
чудный,чудный
чуть-чуть,чуть-чуть
чучело,чучело
шаблон,шаблонъ
шажок,шажокъ
шалаш,шалашъ
шалопут,шалопутъ и шалапутъ
шалун,шалунъ
шалфей,шалфей
шальной,шальной
шампьньон,шампьньонъ и шампинiонъ
шапка-невидимка,шапка-невидимка
шар,шаръ
шарабан,шарабанъ
шарада,шарада
шарнир,шарниръ
шаровары,шаровары
шаромыга,шаромыга и шеромыга
шарф,шарфъ
шатёр,шатёръ
шаткий,шаткiй
шафер,шаферъ
шафран,шафранъ
шахматы,шахматы
швея,швея
шевелиться,шевелиться
шёл,шёлъ
шёлк,шёлкъ и шолкъ
шелом,шеломъ и шоломъ
шелуха,шелуха
шептать,шептать
шеренга,шеренга
шероховатый,шероховатый
шерсть,шерсть
шершавый,шершавый
шестерня,шестерня
шести-,шести- первая часть сложных словъ
шестиаршинный,шестиаршинный
шестиугольный,шестиугольный
шестичасовой,шестичасовой
шестнадцать,шестнадцать
шестьдесят,шестьдесятъ
шестьсот,шестьсотъ
шеф,шефъ
шея,шея
шипящий,шипящiй
шире,шире
широкий,широкій
шкатулка,шкатулка
шкаф,шкафъ и шкапъ
шлагбаум,шлагбаумъ
шлёпнуть,шлёпнуть
шлифование,шлифованiе
шлюпка,шлюпка
шнурок,шнурокъ
шов,шовъ
шоколад,шоколадъ
шомпол,шомполъ
шопот,шопотъ
шорник,шорникъ
шорох,шорохъ
шоссе,шоссе
штабс-капитан,штабсъ-капитанъ
штатский,штатскiй
штиблеты,штиблеты
