багор,багоръ
дарованный,дарованный
даровитый,даровитый
да-с,да-съ
датский,датскiй
двадцать,двадцать
две,двѣ
двенадцатилетний,двѣнадцатилѣтнiй
двенадцать,двѣнадцать
дверца,двёрца
двести,двѣсти
движение,движеніе
двойник,двойникъ
двор,дворъ
дворишко,дворишко
дворняжка,дворняжка
дворянин,дворянинъ
двуглавый,двуглавый
двугривенный,двугривенный
двухгодичный,двугодичный
двухклассный,двуклассный и двухклассный
двухколёсный,двуколёсный и двухколёсный
двухлетний,двулѣтнiй
двухместный,двумѣстный
двухпудовый,двупудовый и двухпудовый
двухсотый,двухсотый
двухтысячный,двухтысячный
двухэтажный,двухъэтажный
дебелый,дебелый
дева,дѣва
девать,дѣвать
девка,дѣвка
девонька,дѣвонька
девственный,дѣвственный
девство,дѣвство
девушка,дѣвушка
девчонка,дѣвчонка
девятнадцать,девятнадцать
девять,девять
девятьсот,девятьсотъ
дед,дѣдъ
дедовский,дѣдовскiй
дедукция,дедукцiя
дедушка,дѣдушка
дежурный,дежурный
действие,дѣйствiе
действительно,дѣйствительно
действнтельно,дѣйствнтельно
